bampo	Lithang	Cone	Lhasa	Dege
lj008_020	12@271b1	106@320a4	12@409a5	12@275b6
lj008_021	12@279a4	106@329a6	12@420b3	12@283a8
lj008_022	12@287b4	106@339a7	12@433a7	12@292a5
lj008_023	13@1b1	107@1b1	13@1b1	13@1b1
lj008_024	13@9b2	107@10b8	13@13b7	13@9b2
lj008_025	13@19a2	107@21b3	13@27a7	13@18b5
lj008_026	13@27b7	107@31b1	13@40a5	13@27a8
lj008_027	13@37a1	107@41b6	13@54a3	13@36b6
lj008_028	13@47a7	107@53a8	13@70a1	13@47b2
lj008_029	13@58a3	107@65a1	13@85a7	13@58a6
lj008_030	13@66b1	107@73b5	13@97b6	13@66b8
lj008_031	13@73b6	107@81b2	13@109b1	13@74b3
lj008_032	13@83a7	107@91b8	13@123b3	13@84b4
lj008_033	13@92b5	107@101b2	13@137a3	13@94a4
lj008_034	13@101a3	107@110b1	13@149a4	13@102b5
lj008_035	13@110a7	107@120b1	13@162a2	13@112a5
lj008_036	13@121a5	107@132a6	13@177a2	13@123a5
lj008_037	13@132b4	107@144b3	13@192b7	13@134a2
lj008_038	13@143a8	107@156b2	13@208b4	13@144a8
lj008_039	13@153b6	107@168a1	13@224b2	13@154b7
lj008_040	13@164a3	107@179b1	13@240a1	13@165a3
lj008_041	13@175a1	107@192a2	13@254b6	13@175a8
lj008_042	13@183b2	107@200b5	13@267a5	13@183b6
lj008_043	13@193b5	107@210b5	13@280b7	13@193a8
lj008_044	13@203a3	107@220a4	13@292b7	13@201b8
lj008_045	13@213a7	107@230b7	13@306a5	13@211b3
lj008_046	13@224a4	107@243a2	13@320b4	13@221b6
lj008_047	13@235b8	107@255a8	13@335b5	13@232a8
lj008_048	13@247b3	107@267b6	13@351b7	13@243a8
lj008_049	13@259b8	107@280b8	13@369b4	13@255a3
lj008_050	13@272b5	107@295b2	13@388a3	13@267a5
lj008_051	13@284a2	107@309b2	13@404a7	13@277b8
lj008_052	13@298a2	107@326a3	13@424b3	13@291b2
lj008_053	13@309b1	107@339a5	13@440b4	13@302a8
